player_name,Bethany Mead,Dominique Johanna Anna Petrone Janssen,Janni Arnth-Jensen,Katie McCabe,Kim Little,Leah Williamson,Lia Wälti,Lisa Evans,Louise Quinn,Pauline Peyraud Magnin,Vivianne Miedema
Bethany Mead,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
Dominique Johanna Anna Petrone Janssen,0.07142857142857142,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0
Janni Arnth-Jensen,0.08,0.08,0.0,0.16,0.0,0.0,0.2,0.0,0.24,0.2,0.04
Katie McCabe,0.1111111111111111,0.05555555555555555,0.3888888888888889,0.0,0.16666666666666666,0.0,0.2222222222222222,0.0,0.05555555555555555,0.0,0.0
Kim Little,0.0,0.18181818181818182,0.0,0.36363636363636365,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.18181818181818182
Leah Williamson,0.0,0.22727272727272727,0.13636363636363635,0.0,0.09090909090909091,0.0,0.045454545454545456,0.36363636363636365,0.0,0.045454545454545456,0.09090909090909091
Lia Wälti,0.08333333333333333,0.0,0.08333333333333333,0.3333333333333333,0.25,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0
Lisa Evans,0.18181818181818182,0.18181818181818182,0.0,0.0,0.09090909090909091,0.36363636363636365,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091
Louise Quinn,0.0,0.0625,0.3125,0.0,0.0,0.4375,0.0,0.0625,0.0,0.125,0.0
Pauline Peyraud Magnin,0.06666666666666667,0.0,0.4,0.13333333333333333,0.0,0.13333333333333333,0.0,0.06666666666666667,0.2,0.0,0.0
Vivianne Miedema,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
